ParamSetup
sysdiagrams


ParamSetup
RobotSetupItems
Index,Label,Tab,DataSource,Datatype,PLCTag,ProgName1,VarName1,ProgName2,VarName2,DBName,DBTableName,DBRowName,DBColumnName,RegPath,RegKey,Edit,Min,Max,Scale,Precision,UseCbo,CustomCBO,Formula,Display,PainterOnly
41,psPFEAlarmNum10,PFEAlarms,PLC,int       ,Z1PFEAlarmNum10,,,,,,,,,,,True,0,100000,1,,,,,False,
42,psPFEAlarmText10,PFEAlarms,PLC,string    ,Z1PFEAlarmText10,,,,,,,,,,,True,0,0,1,,,,,False,
43,psPFEAlarmNum11,PFEAlarms,PLC,int       ,Z1PFEAlarmNum11,,,,,,,,,,,True,0,100000,1,,,,,False,
44,psPFEAlarmText11,PFEAlarms,PLC,string    ,Z1PFEAlarmText11,,,,,,,,,,,True,0,0,1,,,,,False,
45,psPFEAlarmNum12,PFEAlarms,PLC,int       ,Z1PFEAlarmNum12,,,,,,,,,,,True,0,100000,1,,,,,False,
46,psPFEAlarmText12,PFEAlarms,PLC,string    ,Z1PFEAlarmText12,,,,,,,,,,,True,0,0,1,,,,,False,
47,psPFEAlarmNum13,PFEAlarms,PLC,int       ,Z1PFEAlarmNum13,,,,,,,,,,,True,0,100000,1,,,,,False,
48,psPFEAlarmText13,PFEAlarms,PLC,string    ,Z1PFEAlarmText13,,,,,,,,,,,True,0,0,1,,,,,False,
49,psPFEAlarmNum14,PFEAlarms,PLC,int       ,Z1PFEAlarmNum14,,,,,,,,,,,True,0,100000,1,,,,,False,
50,psPFEAlarmText14,PFEAlarms,PLC,string    ,Z1PFEAlarmText14,,,,,,,,,,,True,0,0,1,,,,,False,
51,psPFEAlarmNum15,PFEAlarms,PLC,int       ,Z1PFEAlarmNum15,,,,,,,,,,,True,0,100000,1,,,,,False,
52,psPFEAlarmText15,PFEAlarms,PLC,string    ,Z1PFEAlarmText15,,,,,,,,,,,True,0,0,1,,,,,False,
53,psPFEAlarmNum16,PFEAlarms,PLC,int       ,Z1PFEAlarmNum16,,,,,,,,,,,True,0,100000,1,,,,,False,
54,psPFEAlarmText16,PFEAlarms,PLC,string    ,Z1PFEAlarmText16,,,,,,,,,,,True,0,0,1,,,,,False,
55,psPFEAlarmNum17,PFEAlarms,PLC,int       ,Z1PFEAlarmNum17,,,,,,,,,,,True,0,100000,1,,,,,False,
56,psPFEAlarmText17,PFEAlarms,PLC,string    ,Z1PFEAlarmText17,,,,,,,,,,,True,0,0,1,,,,,False,
57,psPFEAlarmNum18,PFEAlarms,PLC,int       ,Z1PFEAlarmNum18,,,,,,,,,,,True,0,100000,1,,,,,False,
58,psPFEAlarmText18,PFEAlarms,PLC,string    ,Z1PFEAlarmText18,,,,,,,,,,,True,0,0,1,,,,,False,
59,psPFEAlarmNum19,PFEAlarms,PLC,int       ,Z1PFEAlarmNum19,,,,,,,,,,,True,0,100000,1,,,,,False,
60,psPFEAlarmText19,PFEAlarms,PLC,string    ,Z1PFEAlarmText19,,,,,,,,,,,True,0,0,1,,,,,False,
61,psPFEAlarmNum20,PFEAlarms,PLC,int       ,Z1PFEAlarmNum20,,,,,,,,,,,True,0,100000,1,,,,,False,
62,psPFEAlarmText20,PFEAlarms,PLC,string    ,Z1PFEAlarmText20,,,,,,,,,,,True,0,0,1,,,,,False,
63,psPFEAlarmNum21,PFEAlarms,PLC,int       ,Z1PFEAlarmNum21,,,,,,,,,,,True,0,100000,1,,,,,False,
64,psPFEAlarmText21,PFEAlarms,PLC,string    ,Z1PFEAlarmText21,,,,,,,,,,,True,0,0,1,,,,,False,
65,psPFEAlarmNum22,PFEAlarms,PLC,int       ,Z1PFEAlarmNum22,,,,,,,,,,,True,0,100000,1,,,,,False,
66,psPFEAlarmText22,PFEAlarms,PLC,string    ,Z1PFEAlarmText22,,,,,,,,,,,True,0,0,1,,,,,False,
67,psPFEAlarmNum23,PFEAlarms,PLC,int       ,Z1PFEAlarmNum23,,,,,,,,,,,True,0,100000,1,,,,,False,
68,psPFEAlarmText23,PFEAlarms,PLC,string    ,Z1PFEAlarmText23,,,,,,,,,,,True,0,0,1,,,,,False,
69,psPFEAlarmNum24,PFEAlarms,PLC,int       ,Z1PFEAlarmNum24,,,,,,,,,,,True,0,100000,1,,,,,False,
70,psPFEAlarmText24,PFEAlarms,PLC,string    ,Z1PFEAlarmText24,,,,,,,,,,,True,0,0,1,,,,,False,
71,psPFEAlarmNum25,PFEAlarms,PLC,int       ,Z1PFEAlarmNum25,,,,,,,,,,,True,0,100000,1,,,,,False,
72,psPFEAlarmText25,PFEAlarms,PLC,string    ,Z1PFEAlarmText25,,,,,,,,,,,True,0,0,1,,,,,False,
73,psPFEAlarmNum26,PFEAlarms,PLC,int       ,Z1PFEAlarmNum26,,,,,,,,,,,True,0,100000,1,,,,,False,
74,psPFEAlarmText26,PFEAlarms,PLC,string    ,Z1PFEAlarmText26,,,,,,,,,,,True,0,0,1,,,,,False,
75,psPFEAlarmNum27,PFEAlarms,PLC,int       ,Z1PFEAlarmNum27,,,,,,,,,,,True,0,100000,1,,,,,False,
76,psPFEAlarmText27,PFEAlarms,PLC,string    ,Z1PFEAlarmText27,,,,,,,,,,,True,0,0,1,,,,,False,
77,psPFEAlarmNum28,PFEAlarms,PLC,int       ,Z1PFEAlarmNum28,,,,,,,,,,,True,0,100000,1,,,,,False,
78,psPFEAlarmText28,PFEAlarms,PLC,string    ,Z1PFEAlarmText28,,,,,,,,,,,True,0,0,1,,,,,False,
79,psPFEAlarmNum29,PFEAlarms,PLC,int       ,Z1PFEAlarmNum29,,,,,,,,,,,True,0,100000,1,,,,,False,
80,psPFEAlarmText29,PFEAlarms,PLC,string    ,Z1PFEAlarmText29,,,,,,,,,,,True,0,0,1,,,,,False,
81,psPFEAlarmNum30,PFEAlarms,PLC,int       ,Z1PFEAlarmNum30,,,,,,,,,,,True,0,100000,1,,,,,False,
82,psPFEAlarmText30,PFEAlarms,PLC,string    ,Z1PFEAlarmText30,,,,,,,,,,,True,0,0,1,,,,,False,
83,psPFEAlarmNum31,PFEAlarms,PLC,int       ,Z1PFEAlarmNum31,,,,,,,,,,,True,0,100000,1,,,,,False,
84,psPFEAlarmText31,PFEAlarms,PLC,string    ,Z1PFEAlarmText31,,,,,,,,,,,True,0,0,1,,,,,False,
85,psPFEAlarmNum32,PFEAlarms,PLC,int       ,Z1PFEAlarmNum32,,,,,,,,,,,True,0,100000,1,,,,,False,
86,psPFEAlarmText32,PFEAlarms,PLC,string    ,Z1PFEAlarmText32,,,,,,,,,,,True,0,0,1,,,,,False,
87,psPFEAlarmNum33,PFEAlarms,PLC,int       ,Z1PFEAlarmNum33,,,,,,,,,,,True,0,100000,1,,,,,False,
88,psPFEAlarmText33,PFEAlarms,PLC,string    ,Z1PFEAlarmText33,,,,,,,,,,,True,0,0,1,,,,,False,
89,psPFEAlarmNum34,PFEAlarms,PLC,int       ,Z1PFEAlarmNum34,,,,,,,,,,,True,0,100000,1,,,,,False,
90,psPFEAlarmText34,PFEAlarms,PLC,string    ,Z1PFEAlarmText34,,,,,,,,,,,True,0,0,1,,,,,False,
91,psPFEAlarmNum35,PFEAlarms,PLC,int       ,Z1PFEAlarmNum35,,,,,,,,,,,True,0,100000,1,,,,,False,
92,psPFEAlarmText35,PFEAlarms,PLC,string    ,Z1PFEAlarmText35,,,,,,,,,,,True,0,0,1,,,,,False,
93,psPFEAlarmNum36,PFEAlarms,PLC,int       ,Z1PFEAlarmNum36,,,,,,,,,,,True,0,100000,1,,,,,False,
94,psPFEAlarmText36,PFEAlarms,PLC,string    ,Z1PFEAlarmText36,,,,,,,,,,,True,0,0,1,,,,,False,
95,psPFEAlarmNum37,PFEAlarms,PLC,int       ,Z1PFEAlarmNum37,,,,,,,,,,,True,0,100000,1,,,,,False,
96,psPFEAlarmText37,PFEAlarms,PLC,string    ,Z1PFEAlarmText37,,,,,,,,,,,True,0,0,1,,,,,False,
97,psPFEAlarmNum38,PFEAlarms,PLC,int       ,Z1PFEAlarmNum38,,,,,,,,,,,True,0,100000,1,,,,,False,
98,psPFEAlarmText38,PFEAlarms,PLC,string    ,Z1PFEAlarmText38,,,,,,,,,,,True,0,0,1,,,,,False,
99,psPFEAlarmNum39,PFEAlarms,PLC,int       ,Z1PFEAlarmNum39,,,,,,,,,,,True,0,100000,1,,,,,False,
100,psPFEAlarmText39,PFEAlarms,PLC,string    ,Z1PFEAlarmText39,,,,,,,,,,,True,0,0,1,,,,,False,
101,psPFEAlarmNum40,PFEAlarms,PLC,int       ,Z1PFEAlarmNum40,,,,,,,,,,,True,0,100000,1,,,,,False,
102,psPFEAlarmText40,PFEAlarms,PLC,string    ,Z1PFEAlarmText40,,,,,,,,,,,True,0,0,1,,,,,False,
103,psPFEAlarmNum41,PFEAlarms,PLC,int       ,Z1PFEAlarmNum41,,,,,,,,,,,True,0,100000,1,,,,,False,
104,psPFEAlarmText41,PFEAlarms,PLC,string    ,Z1PFEAlarmText41,,,,,,,,,,,True,0,0,1,,,,,False,
105,psPFEAlarmNum42,PFEAlarms,PLC,int       ,Z1PFEAlarmNum42,,,,,,,,,,,True,0,100000,1,,,,,False,
106,psPFEAlarmText42,PFEAlarms,PLC,string    ,Z1PFEAlarmText42,,,,,,,,,,,True,0,0,1,,,,,False,
107,psPFEAlarmNum43,PFEAlarms,PLC,int       ,Z1PFEAlarmNum43,,,,,,,,,,,True,0,100000,1,,,,,False,
108,psPFEAlarmText43,PFEAlarms,PLC,string    ,Z1PFEAlarmText43,,,,,,,,,,,True,0,0,1,,,,,False,
109,psPFEAlarmNum44,PFEAlarms,PLC,int       ,Z1PFEAlarmNum44,,,,,,,,,,,True,0,100000,1,,,,,False,
110,psPFEAlarmText44,PFEAlarms,PLC,string    ,Z1PFEAlarmText44,,,,,,,,,,,True,0,0,1,,,,,False,
111,psPFEAlarmNum45,PFEAlarms,PLC,int       ,Z1PFEAlarmNum45,,,,,,,,,,,True,0,100000,1,,,,,False,
112,psPFEAlarmText45,PFEAlarms,PLC,string    ,Z1PFEAlarmText45,,,,,,,,,,,True,0,0,1,,,,,False,
113,psPFEAlarmNum46,PFEAlarms,PLC,int       ,Z1PFEAlarmNum46,,,,,,,,,,,True,0,100000,1,,,,,False,
114,psPFEAlarmText46,PFEAlarms,PLC,string    ,Z1PFEAlarmText46,,,,,,,,,,,True,0,0,1,,,,,False,
115,psPFEAlarmNum47,PFEAlarms,PLC,int       ,Z1PFEAlarmNum47,,,,,,,,,,,True,0,100000,1,,,,,False,
116,psPFEAlarmText47,PFEAlarms,PLC,string    ,Z1PFEAlarmText47,,,,,,,,,,,True,0,0,1,,,,,False,
117,psPFEAlarmNum48,PFEAlarms,PLC,int       ,Z1PFEAlarmNum48,,,,,,,,,,,True,0,100000,1,,,,,False,
118,psPFEAlarmText48,PFEAlarms,PLC,string    ,Z1PFEAlarmText48,,,,,,,,,,,True,0,0,1,,,,,False,
119,psPFEAlarmNum49,PFEAlarms,PLC,int       ,Z1PFEAlarmNum49,,,,,,,,,,,True,0,100000,1,,,,,False,
